127.0.0.1 - - [10/Jun/2019:14:57:27 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:58:24 +0900] "POST /JSPBook/ch05/response01_process.jsp HTTP/1.1" 500 2912
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:58:51 +0900] "GET /JSPBook/ch05/response01.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:58:53 +0900] "POST /JSPBook/ch05/response01_process.jsp HTTP/1.1" 500 2908
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:59:13 +0900] "GET /JSPBook/ch05/response01.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:59:16 +0900] "POST /JSPBook/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:59:17 +0900] "GET /JSPBook/ch05/response01_success.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:59:35 +0900] "GET /JSPBook/ch05/response01.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:59:38 +0900] "POST /JSPBook/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:16:59:38 +0900] "GET /JSPBook/ch05/response01_success.jsp?name='name'%20value='youngho' HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:05:18 +0900] "GET /JSPBook/ch04/sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:05:18 +0900] "GET /JSPBook/ch04/move.jspcode=A000&type=C HTTP/1.1" 404 1164
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:05:50 +0900] "GET /JSPBook/ch04/sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:05:50 +0900] "GET /JSPBook/ch04/move.jsp?code=A000&type=C HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:07:34 +0900] "GET /JSPBook/ch04/sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:07:34 +0900] "GET /JSPBook/ch04/move.jsp?code=A000&type=C HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:08:16 +0900] "GET /JSPBook/ch04/sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:08:16 +0900] "GET /JSPBook/ch04/move.jsp?code=A000&type=C HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:10:31 +0900] "GET /JSPBook/ch04/forward/timeFrom.jsp HTTP/1.1" 500 5550
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:16:14 +0900] "GET /JSPBook/ch04/forward/from.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:05:13 +0900] "GET /JSPBook/ch05/sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:05:14 +0900] "GET /JSPBook/ch05/sendRedirect_to.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:43:15 +0900] "GET /JSPBook/ch05/sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:43:15 +0900] "GET /JSPBook/ch05/sendRedirect_to.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:43:32 +0900] "GET /JSPBook/%ED%9A%8C%EC%9B%90%EA%B4%80%EB%A6%AC%EC%86%8C%EC%8A%A4/main.html HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:43:39 +0900] "GET /JSPBook/%ED%9A%8C%EC%9B%90%EA%B4%80%EB%A6%AC%EC%86%8C%EC%8A%A4/create.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:43:49 +0900] "GET /JSPBook/%ED%9A%8C%EC%9B%90%EA%B4%80%EB%A6%AC%EC%86%8C%EC%8A%A4/create.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [10/Jun/2019:22:48:19 +0900] "GET /JSPBook/%ED%9A%8C%EC%9B%90%EA%B4%80%EB%A6%AC%EC%86%8C%EC%8A%A4/create.jsp HTTP/1.1" 200 251
